ST_ID,주중_사용량,주말_사용량,주중_이용량,주말_이용량,주중_오전_사용량,주중_오후_사용량,주중_저녁_사용량,주말_오전_사용량,주말_오후_사용량,주말_저녁_사용량,주중_오전_이용량,주중_오후_이용량,주중_저녁_이용량,주말_오전_이용량,주말_오후_이용량,주말_저녁_이용량,주중_심야_사용량,주중_없음_사용량,주중_출근_사용량,주중_퇴근_사용량,주말_심야_사용량,주말_없음_사용량,주말_출근_사용량,주말_퇴근_사용량,주중_심야_이용량,주중_없음_이용량,주중_출근_이용량,주중_퇴근_이용량,주말_심야_이용량,주말_없음_이용량,주말_출근_이용량,주말_퇴근_이용량
113,260.72,216.5,26.07691862554539,33.03941644515897,5.278058492495458,17.15483694136817,17.04418288982969,4.399543589490345,15.886044114615542,14.288753627577156,21.47738994672993,30.86919141609663,26.439561050078844,28.366265327365316,37.65238233784923,31.041704276520694,9.287830364023755,8.596815854263808,8.241483171721226,29.033765509159693,8.723723723723724,9.195844041432277,3.541105637657362,20.236150436150435,23.84661013598988,26.817153535466495,16.469736062750155,27.601494298537393,27.42528384150616,31.476337792243985,30.692133949465326,37.557687139785905
152,194.78285714285715,276.07894736842104,39.9323063601425,45.00783907451017,4.121622013910351,9.05502362984469,19.046354746321793,4.647180084580052,18.31656662665066,25.266478227654698,33.65027154985093,46.72248259463676,42.15996210987636,41.82290943610197,52.92447630376277,42.877334890663654,13.500749630128263,7.029430089054454,5.21286267353147,15.498038353550003,15.625685425685427,11.10499302785418,4.09536541889483,28.192156862745094,37.95319459861852,39.8207270202272,30.217586727671762,46.61239934259046,39.05510536151817,45.46915857135213,44.57539815819144,51.268010894490175
207,357.5028571428571,486.55263157894734,43.93744411533403,56.25141180346086,6.813993294938183,20.440500821876203,30.48783413720428,7.430106500078039,36.92725090036014,39.035739750445636,35.023522997726005,55.585080147858825,51.40782807068903,49.50199415070092,66.39574472692179,53.935503270683185,20.126093439718872,11.969636546117913,9.910085154127154,35.87917066836875,25.800653594771244,18.64177554892925,5.572192513368985,56.36185383244206,45.972039518871306,46.80902701186829,23.782020942638855,51.67313026620471,49.18473612948167,57.36944743456952,46.34587129210659,60.44604182232397
502,372.18857142857144,515.7368421052631,37.39370377350697,45.25762409064879,6.081193766933015,19.002105985826145,36.454097318945585,7.381105484830265,36.2155528878218,44.2126444743163,32.934097120453956,46.22002688103873,40.668017606356635,39.73779605763977,53.458500421425306,42.398088980717844,24.889863547758285,12.080363464047922,8.726476475007312,35.40169388989715,27.45894966173604,19.63418411381708,5.938174851967955,56.14707438530968,36.451015293438346,40.73070483914763,23.296345383414945,43.962262342242475,38.526832098708915,44.64421928948693,42.742174651479054,49.8610636507919
1210,258.98285714285714,255.39473684210526,25.952713291662587,32.60371338942705,4.376589822715013,21.21535296872349,13.931012818892754,3.072575827758779,24.70512349083778,13.87977691977692,19.933695732657355,31.73491295786672,25.98439045367122,26.128555491127504,37.37126872680871,29.512151128314816,6.325090143857163,8.454659873503806,9.23257744865299,32.39623728934027,6.337177093059446,11.121925531978755,3.64158950617284,27.48015873015873,22.800376889144104,26.122295124060045,14.718642602068167,28.959735476924635,25.391725761126498,30.02347105754388,29.979802447294706,35.4118840447811
1308,199.97142857142856,168.73684210526315,18.923383250265328,20.77092725534508,4.874444402735111,12.016863789285974,13.102250360470308,4.407521213017326,9.144514169304086,13.571294903926482,17.556812744950278,19.711541011916516,20.00740290448142,16.34949136001801,22.917804911547794,23.14549798668589,10.67284138412827,7.123313926635907,6.081709873702511,17.003089495714573,12.638401559454193,6.710096609003302,2.7185133312584298,12.678711484593839,17.18371226323406,19.125492286195218,15.919771337786173,20.83557314974567,20.446829695290702,19.571124164476156,16.455340090787374,22.69088293636786
2102,262.02285714285716,277.4054054054054,27.932758649351953,34.287062560801246,6.243388386878827,11.017001117419015,24.104517155586898,6.552531272161846,14.812745098039215,23.025210084033613,22.17007104897954,32.80343414184718,31.052369490790035,26.72744567610174,42.229060972023554,34.89082091461254,19.827421913958023,8.616678006430629,6.700089160622226,21.243183640737772,18.28090569561158,10.923877152522788,3.89582802818097,22.352427637721757,26.04602909105714,27.23884285297464,23.374277337481782,31.361058984799552,28.31544533456174,32.31773387569336,32.89657805222751,40.794933731560086
2219,240.96571428571428,319.42105263157896,46.703665572769545,52.27215272718101,3.5407742748826565,14.911487960015291,21.41604385257198,4.550542963668651,24.183206255475163,25.64082166199814,35.709548001818,55.541639699176734,49.548393907245874,45.69103634504455,62.58638475963436,49.4604656111935,13.08194322713758,8.441031026299608,3.63362000318522,25.72925706536544,14.001633986928104,13.026808530725951,3.550497704001597,34.67818154288742,38.448637084507915,44.649325111221806,36.421575461128704,56.89916971568184,41.32688419035219,50.103505309905714,58.193294329432945,61.19544743533385
2701,223.72571428571428,141.81578947368422,14.196083313562049,20.855903924296108,6.9614369861909635,13.327113767513287,11.63529023399998,2.702914486566448,10.816619981325863,10.451752822341058,12.61497479918478,17.775922252225957,15.790746317342364,17.12625023023657,23.77906306323456,18.344458601891994,5.66173446307582,6.100225250190559,18.163929282505134,24.007707129094413,5.303030303030303,6.1471846011649935,3.266089466089466,14.164983164983164,13.56368412523168,15.756310111265254,9.993279176880254,15.916447789065424,14.29307936285327,20.483404952527458,15.486620117235603,22.366854828920754
3533,227.52,244.52631578947367,24.533478282423467,30.379351563788113,4.476912965331635,14.01138851287345,17.20443981419247,4.038228332664063,17.28016521924085,19.768748341441842,18.834149722886774,27.19119019991224,27.220762495712005,21.75652917478217,36.35836339369869,29.85743201195084,10.08174446635985,7.909016963553634,7.546346331726791,22.10178246583057,11.48876357560568,10.067177603118779,2.719654835338929,24.87690631808279,23.199106356980305,23.491437747180036,15.434406516899225,28.05994524108264,25.18571172854149,27.93555537659825,20.366496931714323,36.39469909442996
